
Test,All
State Name,All

S.No,City Name,SNAP Test 1 Registered,SNAP Test 1 Paid,SNAP Test 1 Capacity,SNAP Test 1 Available,SNAP Test 2 Registered,SNAP Test 2 Paid,SNAP Test 2 Capacity,SNAP Test 2 Available,SNAP Test 3 Registered,SNAP Test 3 Paid,SNAP Test 3 Capacity,SNAP Test 3 Available,
1,Agra - Uttar Pradesh,2,2,10,8,1,1,10,9,1,1,10,9,
2,Ahmedabad - Gujarat,1,1,10,9,1,1,10,9,0,0,10,10,
3,Ajmer - Rajasthan,0,0,10,10,0,0,10,10,0,0,10,10,
4,Aligarh - Uttar Pradesh,0,0,10,10,0,0,10,10,0,0,10,10,
5,Ambala - Haryana,0,0,10,10,0,0,10,10,0,0,10,10,
6,Amravati - Maharashtra,0,0,10,10,0,0,10,10,0,0,10,10,
7,Amritsar - Punjab,0,0,10,10,0,0,10,10,0,0,10,10,
8,Asansol - West Bengal,1,0,10,10,0,0,10,10,1,0,10,10,
9,Bareilly - Uttar Pradesh,0,0,10,10,0,0,10,10,0,0,10,10,
10,Belagavi - Karnataka,0,0,10,10,0,0,10,10,0,0,10,10,
11,Bengaluru - Karnataka,0,0,10,10,0,0,10,10,0,0,10,10,
12,Bhilai - Chattisgarh,0,0,10,10,0,0,10,10,0,0,10,10,
13,Bhopal - Madhya Pradesh,1,1,10,9,0,0,10,10,0,0,10,10,
14,Bhubaneswar - Odisha,0,0,10,10,0,0,10,10,0,0,10,10,
15,Chandigarh - Mohali - Punjab,0,0,10,10,1,0,10,10,0,0,10,10,
16,Chennai - Tamil Nadu,4,2,10,8,3,2,10,8,2,1,10,9,
17,Chhatrapati Sambhaji Nagar - Maharashtra,1,1,10,9,0,0,10,10,0,0,10,10,
18,Coimbatore - Tamil Nadu,1,1,10,9,2,0,10,10,1,1,10,9,
19,Dehradun - Uttarakhand,0,0,10,10,0,0,10,10,0,0,10,10,
20,Dhanbad - Jharkhand,0,0,10,10,0,0,10,10,0,0,10,10,
21,Dibrugarh - Assam,0,0,10,10,0,0,10,10,0,0,10,10,
22,Ernakulam - Kochi - Kerala,0,0,10,10,0,0,10,10,0,0,10,10,
23,Faridabad - Delhi NCR,0,0,10,10,0,0,10,10,0,0,10,10,
24,Gandhinagar - Gujarat,0,0,10,10,0,0,10,10,0,0,10,10,
25,Ghaziabad - Delhi NCR,0,0,10,10,0,0,10,10,0,0,10,10,
26,Greater Noida - Delhi NCR,0,0,10,10,0,0,10,10,0,0,10,10,
27,Guntur - Andhra Pradesh,0,0,10,10,0,0,10,10,0,0,10,10,
28,Guwahati - Assam,0,0,10,10,0,0,10,10,0,0,10,10,
29,Gwalior - Madhya Pradesh,0,0,10,10,0,0,10,10,0,0,10,10,
30,Hubballi - Karnataka,0,0,10,10,0,0,10,10,0,0,10,10,
31,Hyderabad - Telangana,0,0,10,10,0,0,10,10,0,0,10,10,
32,Indore - Madhya Pradesh,0,0,10,10,0,0,10,10,0,0,10,10,
33,Jabalpur - Madhya Pradesh,0,0,10,10,0,0,10,10,0,0,10,10,
34,Jaipur - Rajasthan,0,0,10,10,0,0,10,10,0,0,10,10,
35,Jalandhar - Punjab,0,0,10,10,0,0,10,10,0,0,10,10,
36,Jammu - Jammu & Kashmir,0,0,10,10,0,0,10,10,0,0,10,10,
37,Jamshedpur - Jharkhand,0,0,10,10,0,0,10,10,0,0,10,10,
38,Jodhpur - Rajasthan,0,0,10,10,0,0,10,10,1,1,10,9,
39,Kakinada - Andhra Pradesh,0,0,10,10,0,0,10,10,0,0,10,10,
40,Kalyani - Hooghly - West Bengal,0,0,10,10,0,0,10,10,0,0,10,10,
41,Kanpur - Uttar Pradesh,0,0,10,10,0,0,10,10,0,0,10,10,
42,Kolhapur - Maharashtra,0,0,10,10,0,0,10,10,1,0,10,10,
43,Kolkata - West Bengal,0,0,10,10,0,0,10,10,0,0,10,10,
44,Kota - Rajasthan,0,0,10,10,0,0,10,10,0,0,10,10,
45,Kottayam - Kerala,0,0,10,10,0,0,10,10,0,0,10,10,
46,Kozhikode - Kerala,0,0,10,10,0,0,10,10,0,0,10,10,
47,Kurnool - Andhra Pradesh,0,0,10,10,1,1,10,9,0,0,10,10,
48,Lucknow - Uttar Pradesh,0,0,10,10,0,0,10,10,0,0,10,10,
49,Madurai - Tamil Nadu,0,0,10,10,0,0,10,10,3,1,10,9,
50,Mangaluru - Karnataka,0,0,10,10,0,0,10,10,0,0,10,10,
51,Meerut - Uttar Pradesh,0,0,10,10,0,0,10,10,0,0,10,10,
52,Moradabad - Uttar Pradesh,0,0,10,10,0,0,10,10,0,0,10,10,
53,Mumbai - Navi Mumbai - Thane - Maharashtra,0,0,10,10,0,0,10,10,0,0,10,10,
54,Mysuru - Karnataka,0,0,10,10,0,0,10,10,0,0,10,10,
55,Nagpur - Maharashtra,0,0,10,10,0,0,10,10,0,0,10,10,
56,Nashik - Maharashtra,0,0,10,10,1,1,10,9,0,0,10,10,
57,New Delhi - Gurugram - Delhi NCR,0,0,10,10,0,0,10,10,0,0,10,10,
58,Noida - Delhi NCR,0,0,10,10,0,0,10,10,0,0,10,10,
59,Panjim - Mapusa - Goa,0,0,10,10,0,0,10,10,0,0,10,10,
60,Patiala - Punjab,0,0,10,10,0,0,10,10,0,0,10,10,
61,Patna - Bihar,0,0,10,10,0,0,10,10,0,0,10,10,
62,Prayagraj - Uttar Pradesh,0,0,10,10,1,1,10,9,0,0,10,10,
63,Pune - Maharashtra,1,0,10,10,1,0,10,10,1,0,10,10,
64,Raipur - Chattisgarh,0,0,10,10,0,0,10,10,0,0,10,10,
65,Rajkot - Gujarat,1,0,10,10,0,0,10,10,0,0,10,10,
66,Ranchi - Jharkhand,0,0,10,10,0,0,10,10,0,0,10,10,
67,Roorkee - Uttarakhand,0,0,10,10,0,0,10,10,0,0,10,10,
68,Rourkela - Odisha,0,0,10,10,0,0,10,10,0,0,10,10,
69,Shillong - Meghalaya,0,0,10,10,0,0,10,10,0,0,10,10,
70,Shimla - Himachal Pradesh,0,0,10,10,0,0,10,10,0,0,10,10,
