CourseWise Report

S.No.,Institute,Registered Applicants,Paid Applicants
1,M.B.A. SIBM Pune,2,1
2,M.B.A. (INNOVATION AND ENTREPRENEURSHIP) - SIBM Pune,2,1
3,M.B.A. SCMHRD,2,0
4,M.B.A. (INFRASTRUCTURE DEVELOPMENT AND MANAGEMENT) - SCMHRD,4,0
5,M.B.A. (BUSINESS ANALYTICS) - SCMHRD,2,1
6,M.B.A. (INFORMATION TECHNOLOGY) - SICSR,4,1
7,M.B.A. (INTERNATIONAL BUSINESS) - SIIB,4,2
8,M.B.A. (AGRI BUSINESS) - SIIB,3,0
9,M.B.A. (SUSTAINABILITY MANAGEMENT) - SIIB,2,0
10,M.B.A. (DIGITAL AND TELECOM MANAGEMENT) - SIDTM,4,2
11,M.B.A. SIMS,4,1
12,M.B.A. (COMMUNICATION MANAGEMENT) - SIMC Pune,3,0
13,M.B.A. (OPERATIONS MANAGEMENT) - SIOM Nashik,2,0
14,M.B.A. (AGRI OPERATIONS MANAGEMENT) - SIOM Nashik,3,0
15,M.B.A. (INFORMATION TECHNOLOGY BUSINESS MANAGEMENT) - SCIT,4,1
16,M.B.A. (DATA SCIENCES AND DATA ANALYTICS) - SCIT,3,1
17,M.B.A. (HOSPITAL AND HEALTHCARE MANAGEMENT) - SIHS,2,0
18,M.B.A. SIBM Bengaluru,2,1
19,M.B.A. (BUSINESS ANALYTICS) - SIBM Bengaluru,2,0
20,M.B.A. (BANKING AND FINANCE) - SSBF,2,1
21,M.B.A. SIBM Hyderabad,3,0
22,M.B.A. (SPORTS MANAGEMENT) - SSSS,3,0
23,M.B.A. SIBM Nagpur,3,1
24,M.B.A. (FOOD AND AGRI BUSINESS MANAGEMENT) - SIBM Nagpur,3,1
25,M.B.A. (DIGITAL TRANSFORMATION) - SICSR,2,0
26,M.B.A. SIBM Noida,2,0
27,M.B.A. (FOOD TECHNOLOGY AND FOOD ENTERPRISE MANAGEMENT) - SSCANS,2,0
28,M.B.A. (BANKING AND FINANCE) (DUAL DEGREE WITH ASTON UNIVERSITY UK) - SSBF,2,0
29,M.B.A. (BANKING AND FINANCE) (DUAL DEGREE WITH MACQUARIE UNIVERSITY AUSTRALIA) - SSBF,2,1
30,M.B.A. (OPERATIONS MANAGEMENT) (DUAL DEGREE WITH DURHAM UNIVERSITY UK) - SIOM Nashik,2,1
,Total,80,17
