CourseWise Paid Report

S.No.,Institute,Paid Applicants
1,M.B.A. SIBM Pune,1
2,M.B.A. (INNOVATION AND ENTREPRENEURSHIP) - SIBM Pune,1
3,M.B.A. SCMHRD,0
4,M.B.A. (INFRASTRUCTURE DEVELOPMENT AND MANAGEMENT) - SCMHRD,0
5,M.B.A. (BUSINESS ANALYTICS) - SCMHRD,1
6,M.B.A. (INFORMATION TECHNOLOGY) - SICSR,1
7,M.B.A. (INTERNATIONAL BUSINESS) - SIIB,2
8,M.B.A. (AGRI BUSINESS) - SIIB,0
9,M.B.A. (SUSTAINABILITY MANAGEMENT) - SIIB,0
10,M.B.A. (DIGITAL AND TELECOM MANAGEMENT) - SIDTM,2
11,M.B.A. SIMS,1
12,M.B.A. (COMMUNICATION MANAGEMENT) - SIMC Pune,0
13,M.B.A. (OPERATIONS MANAGEMENT) - SIOM Nashik,0
14,M.B.A. (AGRI OPERATIONS MANAGEMENT) - SIOM Nashik,0
15,M.B.A. (INFORMATION TECHNOLOGY BUSINESS MANAGEMENT) - SCIT,1
16,M.B.A. (DATA SCIENCES AND DATA ANALYTICS) - SCIT,1
17,M.B.A. (HOSPITAL AND HEALTHCARE MANAGEMENT) - SIHS,0
18,M.B.A. SIBM Bengaluru,1
19,M.B.A. (BUSINESS ANALYTICS) - SIBM Bengaluru,0
20,M.B.A. (BANKING AND FINANCE) - SSBF,1
21,M.B.A. SIBM Hyderabad,0
22,M.B.A. (SPORTS MANAGEMENT) - SSSS,0
23,M.B.A. SIBM Nagpur,1
24,M.B.A. (FOOD AND AGRI BUSINESS MANAGEMENT) - SIBM Nagpur,1
25,M.B.A. (DIGITAL TRANSFORMATION) - SICSR,0
26,M.B.A. SIBM Noida,0
27,M.B.A. (FOOD TECHNOLOGY AND FOOD ENTERPRISE MANAGEMENT) - SSCANS,0
28,M.B.A. (BANKING AND FINANCE) (DUAL DEGREE WITH ASTON UNIVERSITY UK) - SSBF,0
29,M.B.A. (BANKING AND FINANCE) (DUAL DEGREE WITH MACQUARIE UNIVERSITY AUSTRALIA) - SSBF,1
30,M.B.A. (OPERATIONS MANAGEMENT) (DUAL DEGREE WITH DURHAM UNIVERSITY UK) - SIOM Nashik,1
,Total,17
