CourseWise Registration Report

S.No.,Institute,Registered Applicants,
1,M.B.A. SIBM Pune,2
2,M.B.A. (INNOVATION AND ENTREPRENEURSHIP) - SIBM Pune,2
3,M.B.A. SCMHRD,2
4,M.B.A. (INFRASTRUCTURE DEVELOPMENT AND MANAGEMENT) - SCMHRD,4
5,M.B.A. (BUSINESS ANALYTICS) - SCMHRD,2
6,M.B.A. (INFORMATION TECHNOLOGY) - SICSR,4
7,M.B.A. (INTERNATIONAL BUSINESS) - SIIB,4
8,M.B.A. (AGRI BUSINESS) - SIIB,3
9,M.B.A. (SUSTAINABILITY MANAGEMENT) - SIIB,2
10,M.B.A. (DIGITAL AND TELECOM MANAGEMENT) - SIDTM,4
11,M.B.A. SIMS,4
12,M.B.A. (COMMUNICATION MANAGEMENT) - SIMC Pune,3
13,M.B.A. (OPERATIONS MANAGEMENT) - SIOM Nashik,2
14,M.B.A. (AGRI OPERATIONS MANAGEMENT) - SIOM Nashik,3
15,M.B.A. (INFORMATION TECHNOLOGY BUSINESS MANAGEMENT) - SCIT,4
16,M.B.A. (DATA SCIENCES AND DATA ANALYTICS) - SCIT,3
17,M.B.A. (HOSPITAL AND HEALTHCARE MANAGEMENT) - SIHS,2
18,M.B.A. SIBM Bengaluru,2
19,M.B.A. (BUSINESS ANALYTICS) - SIBM Bengaluru,2
20,M.B.A. (BANKING AND FINANCE) - SSBF,2
21,M.B.A. SIBM Hyderabad,3
22,M.B.A. (SPORTS MANAGEMENT) - SSSS,3
23,M.B.A. SIBM Nagpur,3
24,M.B.A. (FOOD AND AGRI BUSINESS MANAGEMENT) - SIBM Nagpur,3
25,M.B.A. (DIGITAL TRANSFORMATION) - SICSR,2
26,M.B.A. SIBM Noida,2
27,M.B.A. (FOOD TECHNOLOGY AND FOOD ENTERPRISE MANAGEMENT) - SSCANS,2
28,M.B.A. (BANKING AND FINANCE) (DUAL DEGREE WITH ASTON UNIVERSITY UK) - SSBF,2
29,M.B.A. (BANKING AND FINANCE) (DUAL DEGREE WITH MACQUARIE UNIVERSITY AUSTRALIA) - SSBF,2
30,M.B.A. (OPERATIONS MANAGEMENT) (DUAL DEGREE WITH DURHAM UNIVERSITY UK) - SIOM Nashik,2
,Total,80
